Traning started.....
Epoch[0] Finished[0.134%]Batch[1]loss_adversarial:3.134068012237549
Epoch[0] Finished[0.134%]Batch[1]iou_adversarial:0.06404621917819342
Epoch[0] Finished[0.134%]Batch[1]acc_adversarial:0.03963279724121094
Epoch[0] Finished[0.268%]Batch[2]loss_adversarial:3.1235709190368652
Epoch[0] Finished[0.268%]Batch[2]iou_adversarial:0.0765526330658138
Epoch[0] Finished[0.268%]Batch[2]acc_adversarial:0.016603469848632812
Epoch[0] Finished[0.403%]Batch[3]loss_adversarial:2.8959474563598633
Epoch[0] Finished[0.403%]Batch[3]iou_adversarial:0.07016605252215267
Epoch[0] Finished[0.403%]Batch[3]acc_adversarial:0.03138446807861328
Epoch[0] Finished[0.537%]Batch[4]loss_adversarial:2.8638861179351807
Epoch[0] Finished[0.537%]Batch[4]iou_adversarial:0.12647012128551807
Epoch[0] Finished[0.537%]Batch[4]acc_adversarial:0.07111358642578125
Epoch[0] Finished[0.672%]Batch[5]loss_adversarial:2.637155771255493
Epoch[0] Finished[0.672%]Batch[5]iou_adversarial:0.11340366607199326
Epoch[0] Finished[0.672%]Batch[5]acc_adversarial:0.09832000732421875
Epoch[0] Finished[0.806%]Batch[6]loss_adversarial:2.479788303375244
Epoch[0] Finished[0.806%]Batch[6]iou_adversarial:0.08156514860651526
Epoch[0] Finished[0.806%]Batch[6]acc_adversarial:0.12248706817626953
Epoch[0] Finished[0.940%]Batch[7]loss_adversarial:2.5689926147460938
Epoch[0] Finished[0.940%]Batch[7]iou_adversarial:0.12646929885391595
Epoch[0] Finished[0.940%]Batch[7]acc_adversarial:0.2064228057861328
Epoch[0] Finished[1.075%]Batch[8]loss_adversarial:2.788325786590576
Epoch[0] Finished[1.075%]Batch[8]iou_adversarial:0.13393576186403539
Epoch[0] Finished[1.075%]Batch[8]acc_adversarial:0.22046566009521484
Epoch[0] Finished[1.209%]Batch[9]loss_adversarial:2.2732181549072266
Epoch[0] Finished[1.209%]Batch[9]iou_adversarial:0.15800298834346252
Epoch[0] Finished[1.209%]Batch[9]acc_adversarial:0.4777841567993164
Epoch[0] Finished[1.344%]Batch[10]loss_adversarial:2.2702972888946533
Epoch[0] Finished[1.344%]Batch[10]iou_adversarial:0.20017125278997666
Epoch[0] Finished[1.344%]Batch[10]acc_adversarial:0.43392372131347656
Epoch[0] Finished[1.478%]Batch[11]loss_adversarial:2.4265568256378174
Epoch[0] Finished[1.478%]Batch[11]iou_adversarial:0.17394789788349282
Epoch[0] Finished[1.478%]Batch[11]acc_adversarial:0.3498706817626953
Epoch[0] Finished[1.612%]Batch[12]loss_adversarial:2.0839617252349854
Epoch[0] Finished[1.612%]Batch[12]iou_adversarial:0.22109079977069593
Epoch[0] Finished[1.612%]Batch[12]acc_adversarial:0.4558124542236328
Epoch[0] Finished[1.747%]Batch[13]loss_adversarial:1.9806246757507324
Epoch[0] Finished[1.747%]Batch[13]iou_adversarial:0.18251694632718482
Epoch[0] Finished[1.747%]Batch[13]acc_adversarial:0.5463476181030273
Epoch[0] Finished[1.881%]Batch[14]loss_adversarial:2.159489154815674
Epoch[0] Finished[1.881%]Batch[14]iou_adversarial:0.1872191460199386
Epoch[0] Finished[1.881%]Batch[14]acc_adversarial:0.49041748046875
Epoch[0] Finished[2.016%]Batch[15]loss_adversarial:2.0930604934692383
Epoch[0] Finished[2.016%]Batch[15]iou_adversarial:0.17855906706588584
Epoch[0] Finished[2.016%]Batch[15]acc_adversarial:0.3947896957397461
Epoch[0] Finished[2.150%]Batch[16]loss_adversarial:1.8712189197540283
Epoch[0] Finished[2.150%]Batch[16]iou_adversarial:0.19108991509238168
Epoch[0] Finished[2.150%]Batch[16]acc_adversarial:0.49381256103515625
Epoch[0] Finished[2.284%]Batch[17]loss_adversarial:1.8120676279067993
Epoch[0] Finished[2.284%]Batch[17]iou_adversarial:0.21937709524661744
Epoch[0] Finished[2.284%]Batch[17]acc_adversarial:0.510004997253418
Epoch[0] Finished[2.419%]Batch[18]loss_adversarial:1.7535337209701538
Epoch[0] Finished[2.419%]Batch[18]iou_adversarial:0.19333046462321604
