Traning started.....
Train Adversarial loader length: 2975
Val Adversarial loader length: 500
Epoch[0] Finished[1.084%]Batch[1]loss_adversarial:2.9452641010284424
Epoch[0] Finished[1.084%]Batch[1]iou_adversarial:0.0
Epoch[0] Finished[1.084%]Batch[1]acc_adversarial:0.0
Epoch[0] Finished[2.168%]Batch[2]loss_adversarial:2.935378074645996
Epoch[0] Finished[2.168%]Batch[2]iou_adversarial:0.0
Epoch[0] Finished[2.168%]Batch[2]acc_adversarial:0.0
Epoch[0] Finished[3.252%]Batch[3]loss_adversarial:2.9519503116607666
Epoch[0] Finished[3.252%]Batch[3]iou_adversarial:0.0
Epoch[0] Finished[3.252%]Batch[3]acc_adversarial:0.0
Epoch[0] Finished[4.336%]Batch[4]loss_adversarial:2.9907784461975098
Epoch[0] Finished[4.336%]Batch[4]iou_adversarial:0.0
Epoch[0] Finished[4.336%]Batch[4]acc_adversarial:0.0
Epoch[0] Finished[5.421%]Batch[5]loss_adversarial:2.8720641136169434
Epoch[0] Finished[5.421%]Batch[5]iou_adversarial:0.0009829594
Epoch[0] Finished[5.421%]Batch[5]acc_adversarial:0.013935082302992332
Epoch[0] Finished[6.505%]Batch[6]loss_adversarial:2.8777823448181152
Epoch[0] Finished[6.505%]Batch[6]iou_adversarial:0.026152404
Epoch[0] Finished[6.505%]Batch[6]acc_adversarial:0.4915869947882507
Epoch[0] Finished[7.589%]Batch[7]loss_adversarial:3.1029412746429443
Epoch[0] Finished[7.589%]Batch[7]iou_adversarial:2.8631062e-05
Epoch[0] Finished[7.589%]Batch[7]acc_adversarial:0.0005439764679809404
Epoch[0] Finished[8.673%]Batch[8]loss_adversarial:2.875502347946167
Epoch[0] Finished[8.673%]Batch[8]iou_adversarial:0.007524786
Epoch[0] Finished[8.673%]Batch[8]acc_adversarial:0.14297092991218352
Epoch[0] Finished[9.757%]Batch[9]loss_adversarial:2.8657000064849854
Epoch[0] Finished[9.757%]Batch[9]iou_adversarial:0.019928837
Epoch[0] Finished[9.757%]Batch[9]acc_adversarial:0.3786479261049831
Epoch[0] Finished[1.084%]Batch[10]loss_adversarial:2.823371648788452
Epoch[0] Finished[1.084%]Batch[10]iou_adversarial:0.022109183
Epoch[0] Finished[1.084%]Batch[10]acc_adversarial:0.4200744660823727
Epoch[0] Finished[1.192%]Batch[11]loss_adversarial:2.80838680267334
Epoch[0] Finished[1.192%]Batch[11]iou_adversarial:0.020943502
Epoch[0] Finished[1.192%]Batch[11]acc_adversarial:0.39792653355688984
Epoch[0] Finished[1.301%]Batch[12]loss_adversarial:2.774911880493164
Epoch[0] Finished[1.301%]Batch[12]iou_adversarial:0.02420512
Epoch[0] Finished[1.301%]Batch[12]acc_adversarial:0.4598972832869346
Epoch[0] Finished[1.409%]Batch[13]loss_adversarial:2.9389755725860596
Epoch[0] Finished[1.409%]Batch[13]iou_adversarial:0.008342878
Epoch[0] Finished[1.409%]Batch[13]acc_adversarial:0.15851467212333228
Epoch[0] Finished[1.517%]Batch[14]loss_adversarial:2.7810444831848145
Epoch[0] Finished[1.517%]Batch[14]iou_adversarial:0.016953046
Epoch[0] Finished[1.517%]Batch[14]acc_adversarial:0.32210785410606385
Epoch[0] Finished[1.626%]Batch[15]loss_adversarial:2.8498969078063965
Epoch[0] Finished[1.626%]Batch[15]iou_adversarial:0.015232272
Epoch[0] Finished[1.626%]Batch[15]acc_adversarial:0.2894131705259774
Epoch[0] Finished[1.734%]Batch[16]loss_adversarial:2.71506667137146
Epoch[0] Finished[1.734%]Batch[16]iou_adversarial:0.023395164
Epoch[0] Finished[1.734%]Batch[16]acc_adversarial:0.44450810177977584
Epoch[0] Finished[1.843%]Batch[17]loss_adversarial:2.639441728591919
Epoch[0] Finished[1.843%]Batch[17]iou_adversarial:0.025926623
Epoch[0] Finished[1.843%]Batch[17]acc_adversarial:0.49260582666075436
Epoch[0] Finished[1.951%]Batch[18]loss_adversarial:2.362820625305176
Epoch[0] Finished[1.951%]Batch[18]iou_adversarial:0.04768333
Epoch[0] Finished[1.951%]Batch[18]acc_adversarial:0.9059832955412992
Epoch[0] Finished[2.059%]Batch[19]loss_adversarial:2.607198715209961
Epoch[0] Finished[2.059%]Batch[19]iou_adversarial:0.024393061
Epoch[0] Finished[2.059%]Batch[19]acc_adversarial:0.4634681718407022
