Traning started.....
Train Adversarial loader length: 2975
Val Adversarial loader length: 500
Epoch[0] Finished[1.084%]Batch[1]loss_adversarial:3.094020128250122
Epoch[0] Finished[1.084%]Batch[1]iou_adversarial:0.0
Epoch[0] Finished[1.084%]Batch[1]acc_adversarial:0.0
Epoch[0] Finished[2.168%]Batch[2]loss_adversarial:3.1301956176757812
Epoch[0] Finished[2.168%]Batch[2]iou_adversarial:0.0004909008
Epoch[0] Finished[2.168%]Batch[2]acc_adversarial:0.009306733889280138
Epoch[0] Finished[3.252%]Batch[3]loss_adversarial:2.939772129058838
Epoch[0] Finished[3.252%]Batch[3]iou_adversarial:0.0
Epoch[0] Finished[3.252%]Batch[3]acc_adversarial:0.0
Epoch[0] Finished[4.336%]Batch[4]loss_adversarial:3.1260530948638916
Epoch[0] Finished[4.336%]Batch[4]iou_adversarial:0.0035148005
Epoch[0] Finished[4.336%]Batch[4]acc_adversarial:0.02581503188320783
Epoch[0] Finished[5.421%]Batch[5]loss_adversarial:2.8075740337371826
Epoch[0] Finished[5.421%]Batch[5]iou_adversarial:0.051090367
Epoch[0] Finished[5.421%]Batch[5]acc_adversarial:0.9707169362178809
Epoch[0] Finished[6.505%]Batch[6]loss_adversarial:2.8928611278533936
Epoch[0] Finished[6.505%]Batch[6]iou_adversarial:0.024810677
Epoch[0] Finished[6.505%]Batch[6]acc_adversarial:0.47140288891787485
Epoch[0] Finished[7.589%]Batch[7]loss_adversarial:2.8783411979675293
Epoch[0] Finished[7.589%]Batch[7]iou_adversarial:0.031664193
Epoch[0] Finished[7.589%]Batch[7]acc_adversarial:0.6016196829645737
Epoch[0] Finished[8.673%]Batch[8]loss_adversarial:2.9117350578308105
Epoch[0] Finished[8.673%]Batch[8]iou_adversarial:0.022418434
Epoch[0] Finished[8.673%]Batch[8]acc_adversarial:0.4259502681038287
Epoch[0] Finished[9.757%]Batch[9]loss_adversarial:2.8293051719665527
Epoch[0] Finished[9.757%]Batch[9]iou_adversarial:0.027522469
Epoch[0] Finished[9.757%]Batch[9]acc_adversarial:0.5229269273293796
Epoch[0] Finished[1.084%]Batch[10]loss_adversarial:2.857611894607544
Epoch[0] Finished[1.084%]Batch[10]iou_adversarial:0.030333987
Epoch[0] Finished[1.084%]Batch[10]acc_adversarial:0.5763457610332802
Epoch[0] Finished[1.192%]Batch[11]loss_adversarial:2.9267735481262207
Epoch[0] Finished[1.192%]Batch[11]iou_adversarial:0.0016747911
Epoch[0] Finished[1.192%]Batch[11]acc_adversarial:0.03182103032895325
Epoch[0] Finished[1.301%]Batch[12]loss_adversarial:2.9956414699554443
Epoch[0] Finished[1.301%]Batch[12]iou_adversarial:0.007264918
Epoch[0] Finished[1.301%]Batch[12]acc_adversarial:0.13803344576770538
Epoch[0] Finished[1.409%]Batch[13]loss_adversarial:2.6859402656555176
Epoch[0] Finished[1.409%]Batch[13]iou_adversarial:0.038633723
Epoch[0] Finished[1.409%]Batch[13]acc_adversarial:0.7340407181872824
Epoch[0] Finished[1.517%]Batch[14]loss_adversarial:2.832547664642334
Epoch[0] Finished[1.517%]Batch[14]iou_adversarial:0.01979738
Epoch[0] Finished[1.517%]Batch[14]acc_adversarial:0.3761502176701714
Epoch[0] Finished[1.626%]Batch[15]loss_adversarial:2.781890392303467
Epoch[0] Finished[1.626%]Batch[15]iou_adversarial:0.023711674
Epoch[0] Finished[1.626%]Batch[15]acc_adversarial:0.45052178377676166
Epoch[0] Finished[1.734%]Batch[16]loss_adversarial:2.6619491577148438
Epoch[0] Finished[1.734%]Batch[16]iou_adversarial:0.020750534
Epoch[0] Finished[1.734%]Batch[16]acc_adversarial:0.39426014675359417
Epoch[0] Finished[1.843%]Batch[17]loss_adversarial:2.4851126670837402
Epoch[0] Finished[1.843%]Batch[17]iou_adversarial:0.039151896
Epoch[0] Finished[1.843%]Batch[17]acc_adversarial:0.7438860788425035
Epoch[0] Finished[1.951%]Batch[18]loss_adversarial:2.919945478439331
Epoch[0] Finished[1.951%]Batch[18]iou_adversarial:0.0
Epoch[0] Finished[1.951%]Batch[18]acc_adversarial:0.0
Epoch[0] Finished[2.059%]Batch[19]loss_adversarial:2.9975149631500244
Epoch[0] Finished[2.059%]Batch[19]iou_adversarial:0.00367942
Epoch[0] Finished[2.059%]Batch[19]acc_adversarial:0.06990898097508295
