Traning started.....
Train Adversarial loader length: 2975
Val Adversarial loader length: 500
Epoch[0] Finished[1.084%]Batch[1]loss_adversarial:3.0337159633636475
Epoch[0] Finished[1.084%]Batch[1]iou_adversarial:5.639296e-05
Epoch[0] Finished[1.084%]Batch[1]acc_adversarial:0.0010714662107568177
Epoch[0] Finished[2.168%]Batch[2]loss_adversarial:2.9074618816375732
Epoch[0] Finished[2.168%]Batch[2]iou_adversarial:0.0
Epoch[0] Finished[2.168%]Batch[2]acc_adversarial:0.0
Epoch[0] Finished[3.252%]Batch[3]loss_adversarial:2.9647364616394043
Epoch[0] Finished[3.252%]Batch[3]iou_adversarial:0.0
Epoch[0] Finished[3.252%]Batch[3]acc_adversarial:0.0
Epoch[0] Finished[4.336%]Batch[4]loss_adversarial:3.1155567169189453
Epoch[0] Finished[4.336%]Batch[4]iou_adversarial:0.0009659897
Epoch[0] Finished[4.336%]Batch[4]acc_adversarial:0.018353804884935754
Epoch[0] Finished[5.421%]Batch[5]loss_adversarial:3.0313515663146973
Epoch[0] Finished[5.421%]Batch[5]iou_adversarial:0.0
Epoch[0] Finished[5.421%]Batch[5]acc_adversarial:0.0
Epoch[0] Finished[6.505%]Batch[6]loss_adversarial:3.053987979888916
Epoch[0] Finished[6.505%]Batch[6]iou_adversarial:0.0
Epoch[0] Finished[6.505%]Batch[6]acc_adversarial:0.0
Epoch[0] Finished[7.589%]Batch[7]loss_adversarial:2.9647886753082275
Epoch[0] Finished[7.589%]Batch[7]iou_adversarial:5.6302604e-05
Epoch[0] Finished[7.589%]Batch[7]acc_adversarial:0.0010697494628778947
Epoch[0] Finished[8.673%]Batch[8]loss_adversarial:2.9463517665863037
Epoch[0] Finished[8.673%]Batch[8]iou_adversarial:0.0030854174
Epoch[0] Finished[8.673%]Batch[8]acc_adversarial:0.05792738275340391
Epoch[0] Finished[9.757%]Batch[9]loss_adversarial:2.9091989994049072
Epoch[0] Finished[9.757%]Batch[9]iou_adversarial:0.00041449536
Epoch[0] Finished[9.757%]Batch[9]acc_adversarial:0.00783987496533817
Epoch[0] Finished[1.084%]Batch[10]loss_adversarial:2.8742847442626953
Epoch[0] Finished[1.084%]Batch[10]iou_adversarial:0.010101207
Epoch[0] Finished[1.084%]Batch[10]acc_adversarial:0.17038584276182178
Epoch[0] Finished[1.192%]Batch[11]loss_adversarial:2.98042368888855
Epoch[0] Finished[1.192%]Batch[11]iou_adversarial:0.00088360434
Epoch[0] Finished[1.192%]Batch[11]acc_adversarial:0.016724008806851768
Epoch[0] Finished[1.301%]Batch[12]loss_adversarial:2.8464808464050293
Epoch[0] Finished[1.301%]Batch[12]iou_adversarial:0.0013356139
Epoch[0] Finished[1.301%]Batch[12]acc_adversarial:0.025319378174542075
Epoch[0] Finished[1.409%]Batch[13]loss_adversarial:2.8681845664978027
Epoch[0] Finished[1.409%]Batch[13]iou_adversarial:0.000957999
Epoch[0] Finished[1.409%]Batch[13]acc_adversarial:0.0028880029434445345
Epoch[0] Finished[1.517%]Batch[14]loss_adversarial:2.7709109783172607
Epoch[0] Finished[1.517%]Batch[14]iou_adversarial:0.003004431
Epoch[0] Finished[1.517%]Batch[14]acc_adversarial:0.0007903789838796801
Epoch[0] Finished[1.626%]Batch[15]loss_adversarial:2.692901372909546
Epoch[0] Finished[1.626%]Batch[15]iou_adversarial:0.0
Epoch[0] Finished[1.626%]Batch[15]acc_adversarial:0.0
Epoch[0] Finished[1.734%]Batch[16]loss_adversarial:2.6948344707489014
Epoch[0] Finished[1.734%]Batch[16]iou_adversarial:3.790535e-05
Epoch[0] Finished[1.734%]Batch[16]acc_adversarial:6.052123917237202e-05
Epoch[0] Finished[1.843%]Batch[17]loss_adversarial:2.6338744163513184
Epoch[0] Finished[1.843%]Batch[17]iou_adversarial:0.0054357043
Epoch[0] Finished[1.843%]Batch[17]acc_adversarial:0.10085449178031161
Epoch[0] Finished[1.951%]Batch[18]loss_adversarial:2.5836517810821533
Epoch[0] Finished[1.951%]Batch[18]iou_adversarial:0.035685502
Epoch[0] Finished[1.951%]Batch[18]acc_adversarial:0.6780245479577071
Epoch[0] Finished[2.059%]Batch[19]loss_adversarial:2.567945718765259
Epoch[0] Finished[2.059%]Batch[19]iou_adversarial:0.023726696
Epoch[0] Finished[2.059%]Batch[19]acc_adversarial:0.4508072297995043
