
Traning started.....
Train Adversarial loader length: 2975
Val Adversarial loader length: 500
Epoch[0] Finished[1.084%]Batch[1]loss_adversarial:2.873622417449951
Epoch[0] Finished[1.084%]Batch[1]iou_adversarial:2.5378778e-05
Epoch[0] Finished[1.084%]Batch[1]acc_adversarial:0.0004767520638345919
Epoch[0] Finished[2.168%]Batch[2]loss_adversarial:2.8608145713806152
Epoch[0] Finished[2.168%]Batch[2]iou_adversarial:0.00012195783
Epoch[0] Finished[2.168%]Batch[2]acc_adversarial:4.4986953783402795e-05
Epoch[0] Finished[3.252%]Batch[3]loss_adversarial:2.9532275199890137
Epoch[0] Finished[3.252%]Batch[3]iou_adversarial:0.00084491534
Epoch[0] Finished[3.252%]Batch[3]acc_adversarial:0.00044686566414781694
Epoch[0] Finished[4.336%]Batch[4]loss_adversarial:2.9557833671569824
Epoch[0] Finished[4.336%]Batch[4]iou_adversarial:0.0
Epoch[0] Finished[4.336%]Batch[4]acc_adversarial:0.0
Epoch[0] Finished[5.421%]Batch[5]loss_adversarial:2.9238133430480957
Epoch[0] Finished[5.421%]Batch[5]iou_adversarial:0.0
Epoch[0] Finished[5.421%]Batch[5]acc_adversarial:0.0
Epoch[0] Finished[6.505%]Batch[6]loss_adversarial:2.859160900115967
Epoch[0] Finished[6.505%]Batch[6]iou_adversarial:0.0017335698
Epoch[0] Finished[6.505%]Batch[6]acc_adversarial:0.03286835323078344
Epoch[0] Finished[7.589%]Batch[7]loss_adversarial:2.940575122833252
Epoch[0] Finished[7.589%]Batch[7]iou_adversarial:0.01647006
Epoch[0] Finished[7.589%]Batch[7]acc_adversarial:0.3116373972004666
Epoch[0] Finished[8.673%]Batch[8]loss_adversarial:2.983717679977417
Epoch[0] Finished[8.673%]Batch[8]iou_adversarial:0.010968843
Epoch[0] Finished[8.673%]Batch[8]acc_adversarial:0.17229053616767057
Epoch[0] Finished[9.757%]Batch[9]loss_adversarial:2.8433074951171875
Epoch[0] Finished[9.757%]Batch[9]iou_adversarial:0.022653177
Epoch[0] Finished[9.757%]Batch[9]acc_adversarial:0.43041035488229823
Epoch[0] Finished[1.084%]Batch[10]loss_adversarial:2.859797716140747
Epoch[0] Finished[1.084%]Batch[10]iou_adversarial:0.015583958
Epoch[0] Finished[1.084%]Batch[10]acc_adversarial:0.29609520267757516
Epoch[0] Finished[1.192%]Batch[11]loss_adversarial:2.8249340057373047
Epoch[0] Finished[1.192%]Batch[11]iou_adversarial:0.025854325
Epoch[0] Finished[1.192%]Batch[11]acc_adversarial:0.4900983316294803
Epoch[0] Finished[1.301%]Batch[12]loss_adversarial:2.8235039710998535
Epoch[0] Finished[1.301%]Batch[12]iou_adversarial:0.02336428
Epoch[0] Finished[1.301%]Batch[12]acc_adversarial:0.4429286244309406
Epoch[0] Finished[1.409%]Batch[13]loss_adversarial:2.730905294418335
Epoch[0] Finished[1.409%]Batch[13]iou_adversarial:0.0162382
Epoch[0] Finished[1.409%]Batch[13]acc_adversarial:0.29566753259365347
Epoch[0] Finished[1.517%]Batch[14]loss_adversarial:2.8228373527526855
Epoch[0] Finished[1.517%]Batch[14]iou_adversarial:0.0014503701
Epoch[0] Finished[1.517%]Batch[14]acc_adversarial:0.027557029614940824
Epoch[0] Finished[1.626%]Batch[15]loss_adversarial:2.6158406734466553
Epoch[0] Finished[1.626%]Batch[15]iou_adversarial:0.021071782
Epoch[0] Finished[1.626%]Batch[15]acc_adversarial:0.4003638583346298
Epoch[0] Finished[1.734%]Batch[16]loss_adversarial:2.693186044692993
Epoch[0] Finished[1.734%]Batch[16]iou_adversarial:0.02330803
Epoch[0] Finished[1.734%]Batch[16]acc_adversarial:0.44285255060190193
Epoch[0] Finished[1.843%]Batch[17]loss_adversarial:2.6613876819610596
Epoch[0] Finished[1.843%]Batch[17]iou_adversarial:0.019153269
Epoch[0] Finished[1.843%]Batch[17]acc_adversarial:0.3639121137859784
Epoch[0] Finished[1.951%]Batch[18]loss_adversarial:2.5643913745880127
Epoch[0] Finished[1.951%]Batch[18]iou_adversarial:0.021409074
Epoch[0] Finished[1.951%]Batch[18]acc_adversarial:0.4067724101619058
Epoch[0] Finished[2.059%]Batch[19]loss_adversarial:2.331883430480957
Epoch[0] Finished[2.059%]Batch[19]iou_adversarial:0.026077496
Epoch[0] Finished[2.059%]Batch[19]acc_adversarial:0.4954724349700015
