Traning started.....
Train Adversarial loader length: 2975
Val Adversarial loader length: 500
Epoch[0] Finished[1.084%]Batch[1]loss_adversarial:3.073845148086548
Epoch[0] Finished[1.084%]Batch[1]iou_adversarial:0.0
Epoch[0] Finished[1.084%]Batch[1]acc_adversarial:0.0
Epoch[0] Finished[2.168%]Batch[2]loss_adversarial:3.0445034503936768
Epoch[0] Finished[2.168%]Batch[2]iou_adversarial:0.0
Epoch[0] Finished[2.168%]Batch[2]acc_adversarial:0.0
Epoch[0] Finished[3.252%]Batch[3]loss_adversarial:2.828413486480713
Epoch[0] Finished[3.252%]Batch[3]iou_adversarial:5.8696245e-05
Epoch[0] Finished[3.252%]Batch[3]acc_adversarial:0.0005781042996507283
Epoch[0] Finished[4.336%]Batch[4]loss_adversarial:3.139876365661621
Epoch[0] Finished[4.336%]Batch[4]iou_adversarial:0.0
Epoch[0] Finished[4.336%]Batch[4]acc_adversarial:0.0
Epoch[0] Finished[5.421%]Batch[5]loss_adversarial:3.112659454345703
Epoch[0] Finished[5.421%]Batch[5]iou_adversarial:0.0005447075
Epoch[0] Finished[5.421%]Batch[5]acc_adversarial:0.010325445624495368
Epoch[0] Finished[6.505%]Batch[6]loss_adversarial:3.102640390396118
Epoch[0] Finished[6.505%]Batch[6]iou_adversarial:0.0
Epoch[0] Finished[6.505%]Batch[6]acc_adversarial:0.0
Epoch[0] Finished[7.589%]Batch[7]loss_adversarial:2.997222661972046
Epoch[0] Finished[7.589%]Batch[7]iou_adversarial:0.0
Epoch[0] Finished[7.589%]Batch[7]acc_adversarial:0.0
Epoch[0] Finished[8.673%]Batch[8]loss_adversarial:2.999615430831909
Epoch[0] Finished[8.673%]Batch[8]iou_adversarial:0.0
Epoch[0] Finished[8.673%]Batch[8]acc_adversarial:0.0
Epoch[0] Finished[9.757%]Batch[9]loss_adversarial:2.947376012802124
Epoch[0] Finished[9.757%]Batch[9]iou_adversarial:0.0
Epoch[0] Finished[9.757%]Batch[9]acc_adversarial:0.0
Epoch[0] Finished[1.084%]Batch[10]loss_adversarial:2.9158637523651123
Epoch[0] Finished[1.084%]Batch[10]iou_adversarial:9.2854956e-05
Epoch[0] Finished[1.084%]Batch[10]acc_adversarial:0.0010115932593835286
Epoch[0] Finished[1.192%]Batch[11]loss_adversarial:2.96026349067688
Epoch[0] Finished[1.192%]Batch[11]iou_adversarial:0.008361153
Epoch[0] Finished[1.192%]Batch[11]acc_adversarial:0.13617618277315113
Epoch[0] Finished[1.301%]Batch[12]loss_adversarial:2.8504204750061035
Epoch[0] Finished[1.301%]Batch[12]iou_adversarial:0.024460906
Epoch[0] Finished[1.301%]Batch[12]acc_adversarial:0.46475723433167343
Epoch[0] Finished[1.409%]Batch[13]loss_adversarial:2.794367790222168
Epoch[0] Finished[1.409%]Batch[13]iou_adversarial:0.022078415
Epoch[0] Finished[1.409%]Batch[13]acc_adversarial:0.4194898817650109
Epoch[0] Finished[1.517%]Batch[14]loss_adversarial:2.7426390647888184
Epoch[0] Finished[1.517%]Batch[14]iou_adversarial:0.024157612
Epoch[0] Finished[1.517%]Batch[14]acc_adversarial:0.4589946276246717
Epoch[0] Finished[1.626%]Batch[15]loss_adversarial:2.7088193893432617
Epoch[0] Finished[1.626%]Batch[15]iou_adversarial:0.023525817
Epoch[0] Finished[1.626%]Batch[15]acc_adversarial:0.4469905336293643
Epoch[0] Finished[1.734%]Batch[16]loss_adversarial:2.6415698528289795
Epoch[0] Finished[1.734%]Batch[16]iou_adversarial:0.025290623
Epoch[0] Finished[1.734%]Batch[16]acc_adversarial:0.4805218423881936
Epoch[0] Finished[1.843%]Batch[17]loss_adversarial:2.6110520362854004
Epoch[0] Finished[1.843%]Batch[17]iou_adversarial:0.023786627
Epoch[0] Finished[1.843%]Batch[17]acc_adversarial:0.45194589963624077
Epoch[0] Finished[1.951%]Batch[18]loss_adversarial:2.805023431777954
Epoch[0] Finished[1.951%]Batch[18]iou_adversarial:0.010289914
Epoch[0] Finished[1.951%]Batch[18]acc_adversarial:0.195508358130181
Epoch[0] Finished[2.059%]Batch[19]loss_adversarial:2.5119736194610596
Epoch[0] Finished[2.059%]Batch[19]iou_adversarial:0.023363713
Epoch[0] Finished[2.059%]Batch[19]acc_adversarial:0.4439105330801246
Epoch[0] Finished[2.168%]Batch[20]loss_adversarial:1.7027418613433838
