Traning started.....
Train Adversarial loader length: 2975
Val Adversarial loader length: 500
Epoch[0] Finished[1.084%]Batch[1]loss_adversarial:3.013583183288574
Epoch[0] Finished[1.084%]Batch[1]iou_adversarial:0.00011692151
Epoch[0] Finished[1.084%]Batch[1]acc_adversarial:0.0022214735423553927
Epoch[0] Finished[2.168%]Batch[2]loss_adversarial:3.0139429569244385
Epoch[0] Finished[2.168%]Batch[2]iou_adversarial:0.002926965
Epoch[0] Finished[2.168%]Batch[2]acc_adversarial:0.0556123355847849
Epoch[0] Finished[3.252%]Batch[3]loss_adversarial:3.096325635910034
Epoch[0] Finished[3.252%]Batch[3]iou_adversarial:0.0
Epoch[0] Finished[3.252%]Batch[3]acc_adversarial:0.0
Epoch[0] Finished[4.336%]Batch[4]loss_adversarial:3.0222980976104736
Epoch[0] Finished[4.336%]Batch[4]iou_adversarial:0.0043950514
Epoch[0] Finished[4.336%]Batch[4]acc_adversarial:0.08350598182101238
Epoch[0] Finished[5.421%]Batch[5]loss_adversarial:3.0507805347442627
Epoch[0] Finished[5.421%]Batch[5]iou_adversarial:0.0022220875
Epoch[0] Finished[5.421%]Batch[5]acc_adversarial:0.04221881966853362
Epoch[0] Finished[6.505%]Batch[6]loss_adversarial:2.9373130798339844
Epoch[0] Finished[6.505%]Batch[6]iou_adversarial:1.511837e-06
Epoch[0] Finished[6.505%]Batch[6]acc_adversarial:5.572645000222903e-06
Epoch[0] Finished[7.589%]Batch[7]loss_adversarial:2.987988233566284
Epoch[0] Finished[7.589%]Batch[7]iou_adversarial:0.0017365245
Epoch[0] Finished[7.589%]Batch[7]acc_adversarial:0.03299377410212329
Epoch[0] Finished[8.673%]Batch[8]loss_adversarial:2.999462604522705
Epoch[0] Finished[8.673%]Batch[8]iou_adversarial:0.0007308421
Epoch[0] Finished[8.673%]Batch[8]acc_adversarial:0.013885999911754873
Epoch[0] Finished[9.757%]Batch[9]loss_adversarial:2.974316358566284
Epoch[0] Finished[9.757%]Batch[9]iou_adversarial:0.0
Epoch[0] Finished[9.757%]Batch[9]acc_adversarial:0.0
Epoch[0] Finished[1.084%]Batch[10]loss_adversarial:2.9296700954437256
Epoch[0] Finished[1.084%]Batch[10]iou_adversarial:0.0
Epoch[0] Finished[1.084%]Batch[10]acc_adversarial:0.0
Epoch[0] Finished[1.192%]Batch[11]loss_adversarial:2.9077820777893066
Epoch[0] Finished[1.192%]Batch[11]iou_adversarial:0.0
Epoch[0] Finished[1.192%]Batch[11]acc_adversarial:0.0
Epoch[0] Finished[1.301%]Batch[12]loss_adversarial:2.9432637691497803
Epoch[0] Finished[1.301%]Batch[12]iou_adversarial:0.0
Epoch[0] Finished[1.301%]Batch[12]acc_adversarial:0.0
Epoch[0] Finished[1.409%]Batch[13]loss_adversarial:2.871687412261963
Epoch[0] Finished[1.409%]Batch[13]iou_adversarial:0.0
Epoch[0] Finished[1.409%]Batch[13]acc_adversarial:0.0
Epoch[0] Finished[1.517%]Batch[14]loss_adversarial:2.8674638271331787
Epoch[0] Finished[1.517%]Batch[14]iou_adversarial:0.0032638751
Epoch[0] Finished[1.517%]Batch[14]acc_adversarial:0.06189588511460917
Epoch[0] Finished[1.626%]Batch[15]loss_adversarial:2.8139610290527344
Epoch[0] Finished[1.626%]Batch[15]iou_adversarial:0.00073194446
Epoch[0] Finished[1.626%]Batch[15]acc_adversarial:0.009800122374056695
Epoch[0] Finished[1.734%]Batch[16]loss_adversarial:2.8135077953338623
Epoch[0] Finished[1.734%]Batch[16]iou_adversarial:0.027303467
Epoch[0] Finished[1.734%]Batch[16]acc_adversarial:0.5187606494051499
Epoch[0] Finished[1.843%]Batch[17]loss_adversarial:2.800989866256714
Epoch[0] Finished[1.843%]Batch[17]iou_adversarial:0.025111604
Epoch[0] Finished[1.843%]Batch[17]acc_adversarial:0.47712050204155493
Epoch[0] Finished[1.951%]Batch[18]loss_adversarial:2.7038028240203857
Epoch[0] Finished[1.951%]Batch[18]iou_adversarial:0.025640368
Epoch[0] Finished[1.951%]Batch[18]acc_adversarial:0.48715609244902297
Epoch[0] Finished[2.059%]Batch[19]loss_adversarial:2.6679604053497314
Epoch[0] Finished[2.059%]Batch[19]iou_adversarial:0.026381208
Epoch[0] Finished[2.059%]Batch[19]acc_adversarial:0.5012271469269105
