Traning started.....
Train Adversarial loader length: 2975
Val Adversarial loader length: 500
Epoch[0] Finished[1.084%]Batch[1]loss_adversarial:2.9067013263702393
Epoch[0] Finished[1.084%]Batch[1]iou_adversarial:0.0
Epoch[0] Finished[1.084%]Batch[1]acc_adversarial:0.0
Epoch[0] Finished[2.168%]Batch[2]loss_adversarial:2.914947032928467
Epoch[0] Finished[2.168%]Batch[2]iou_adversarial:0.0
Epoch[0] Finished[2.168%]Batch[2]acc_adversarial:0.0
Epoch[0] Finished[3.252%]Batch[3]loss_adversarial:2.8893961906433105
Epoch[0] Finished[3.252%]Batch[3]iou_adversarial:0.0
Epoch[0] Finished[3.252%]Batch[3]acc_adversarial:0.0
Epoch[0] Finished[4.336%]Batch[4]loss_adversarial:2.8420283794403076
Epoch[0] Finished[4.336%]Batch[4]iou_adversarial:0.0
Epoch[0] Finished[4.336%]Batch[4]acc_adversarial:0.0
Epoch[0] Finished[5.421%]Batch[5]loss_adversarial:2.837247848510742
Epoch[0] Finished[5.421%]Batch[5]iou_adversarial:0.0004553161
Epoch[0] Finished[5.421%]Batch[5]acc_adversarial:0.0009191313834795468
Epoch[0] Finished[6.505%]Batch[6]loss_adversarial:2.82578706741333
Epoch[0] Finished[6.505%]Batch[6]iou_adversarial:0.023980012
Epoch[0] Finished[6.505%]Batch[6]acc_adversarial:0.4531874693362003
Epoch[0] Finished[7.589%]Batch[7]loss_adversarial:2.7668826580047607
Epoch[0] Finished[7.589%]Batch[7]iou_adversarial:0.022521552
Epoch[0] Finished[7.589%]Batch[7]acc_adversarial:0.42771469344516294
Epoch[0] Finished[8.673%]Batch[8]loss_adversarial:2.7437961101531982
Epoch[0] Finished[8.673%]Batch[8]iou_adversarial:0.022062603
Epoch[0] Finished[8.673%]Batch[8]acc_adversarial:0.4173465505579978
Epoch[0] Finished[9.757%]Batch[9]loss_adversarial:2.6297292709350586
Epoch[0] Finished[9.757%]Batch[9]iou_adversarial:0.026605519
Epoch[0] Finished[9.757%]Batch[9]acc_adversarial:0.5037420870183317
Epoch[0] Finished[1.084%]Batch[10]loss_adversarial:2.6095659732818604
Epoch[0] Finished[1.084%]Batch[10]iou_adversarial:0.01555679
Epoch[0] Finished[1.084%]Batch[10]acc_adversarial:0.2950586172893611
Epoch[0] Finished[1.192%]Batch[11]loss_adversarial:2.5933783054351807
Epoch[0] Finished[1.192%]Batch[11]iou_adversarial:0.0135406805
Epoch[0] Finished[1.192%]Batch[11]acc_adversarial:0.2572542398132743
Epoch[0] Finished[1.301%]Batch[12]loss_adversarial:2.501909017562866
Epoch[0] Finished[1.301%]Batch[12]iou_adversarial:0.019327328
Epoch[0] Finished[1.301%]Batch[12]acc_adversarial:0.3672192168345822
Epoch[0] Finished[1.409%]Batch[13]loss_adversarial:2.0886595249176025
Epoch[0] Finished[1.409%]Batch[13]iou_adversarial:0.026460845
Epoch[0] Finished[1.409%]Batch[13]acc_adversarial:0.5027560517675878
Epoch[0] Finished[1.517%]Batch[14]loss_adversarial:2.161381959915161
Epoch[0] Finished[1.517%]Batch[14]iou_adversarial:0.022275224
Epoch[0] Finished[1.517%]Batch[14]acc_adversarial:0.42322926870820715
Epoch[0] Finished[1.626%]Batch[15]loss_adversarial:2.195556402206421
Epoch[0] Finished[1.626%]Batch[15]iou_adversarial:0.016143726
Epoch[0] Finished[1.626%]Batch[15]acc_adversarial:0.3067308064900052
Epoch[0] Finished[1.734%]Batch[16]loss_adversarial:2.9855477809906006
Epoch[0] Finished[1.734%]Batch[16]iou_adversarial:0.00088621443
Epoch[0] Finished[1.734%]Batch[16]acc_adversarial:0.016838073856414143
Epoch[0] Finished[1.843%]Batch[17]loss_adversarial:2.074742317199707
Epoch[0] Finished[1.843%]Batch[17]iou_adversarial:0.0
Epoch[0] Finished[1.843%]Batch[17]acc_adversarial:0.0
Epoch[0] Finished[1.951%]Batch[18]loss_adversarial:2.833632469177246
Epoch[0] Finished[1.951%]Batch[18]iou_adversarial:0.00386882
Epoch[0] Finished[1.951%]Batch[18]acc_adversarial:0.07350757445398284
Epoch[0] Finished[2.059%]Batch[19]loss_adversarial:2.043518304824829
Epoch[0] Finished[2.059%]Batch[19]iou_adversarial:0.015847877
Epoch[0] Finished[2.059%]Batch[19]acc_adversarial:0.3011096595942759
Epoch[0] Finished[2.168%]Batch[20]loss_adversarial:2.14605975151062
