Traning started.....
Train Adversarial loader length: 2975
Val Adversarial loader length: 500
Epoch[0] Finished[1.084%]Batch[1]loss_adversarial:2.9447414875030518
Epoch[0] Finished[1.084%]Batch[1]iou_adversarial:0.0
Epoch[0] Finished[1.084%]Batch[1]acc_adversarial:0.0
Epoch[0] Finished[2.168%]Batch[2]loss_adversarial:2.9457409381866455
Epoch[0] Finished[2.168%]Batch[2]iou_adversarial:0.0
Epoch[0] Finished[2.168%]Batch[2]acc_adversarial:0.0
Epoch[0] Finished[3.252%]Batch[3]loss_adversarial:2.9828999042510986
Epoch[0] Finished[3.252%]Batch[3]iou_adversarial:0.0
Epoch[0] Finished[3.252%]Batch[3]acc_adversarial:0.0
Epoch[0] Finished[4.336%]Batch[4]loss_adversarial:2.896730661392212
Epoch[0] Finished[4.336%]Batch[4]iou_adversarial:0.0001579849
Epoch[0] Finished[4.336%]Batch[4]acc_adversarial:0.002980504364085862
Epoch[0] Finished[5.421%]Batch[5]loss_adversarial:2.80436635017395
Epoch[0] Finished[5.421%]Batch[5]iou_adversarial:0.0002606861
Epoch[0] Finished[5.421%]Batch[5]acc_adversarial:0.003916518180053981
Epoch[0] Finished[6.505%]Batch[6]loss_adversarial:2.869123697280884
Epoch[0] Finished[6.505%]Batch[6]iou_adversarial:0.0018092901
Epoch[0] Finished[6.505%]Batch[6]acc_adversarial:0.012181147193373446
Epoch[0] Finished[7.589%]Batch[7]loss_adversarial:2.8376035690307617
Epoch[0] Finished[7.589%]Batch[7]iou_adversarial:0.01722761
Epoch[0] Finished[7.589%]Batch[7]acc_adversarial:0.32660142792950203
Epoch[0] Finished[8.673%]Batch[8]loss_adversarial:2.858717441558838
Epoch[0] Finished[8.673%]Batch[8]iou_adversarial:0.012847839
Epoch[0] Finished[8.673%]Batch[8]acc_adversarial:0.24370876759581275
Epoch[0] Finished[9.757%]Batch[9]loss_adversarial:2.824174642562866
Epoch[0] Finished[9.757%]Batch[9]iou_adversarial:0.008291094
Epoch[0] Finished[9.757%]Batch[9]acc_adversarial:0.15753078090740413
Epoch[0] Finished[1.084%]Batch[10]loss_adversarial:2.911473035812378
Epoch[0] Finished[1.084%]Batch[10]iou_adversarial:0.0047624866
Epoch[0] Finished[1.084%]Batch[10]acc_adversarial:0.0904858331045983
Epoch[0] Finished[1.192%]Batch[11]loss_adversarial:2.778404951095581
Epoch[0] Finished[1.192%]Batch[11]iou_adversarial:0.022501726
Epoch[0] Finished[1.192%]Batch[11]acc_adversarial:0.42751605639427165
Epoch[0] Finished[1.301%]Batch[12]loss_adversarial:2.8177337646484375
Epoch[0] Finished[1.301%]Batch[12]iou_adversarial:0.00021698438
Epoch[0] Finished[1.301%]Batch[12]acc_adversarial:0.004117022283448833
Epoch[0] Finished[1.409%]Batch[13]loss_adversarial:2.7827956676483154
Epoch[0] Finished[1.409%]Batch[13]iou_adversarial:0.00021820047
Epoch[0] Finished[1.409%]Batch[13]acc_adversarial:0.004138440571693863
Epoch[0] Finished[1.517%]Batch[14]loss_adversarial:2.6842124462127686
Epoch[0] Finished[1.517%]Batch[14]iou_adversarial:0.018546086
Epoch[0] Finished[1.517%]Batch[14]acc_adversarial:0.3523733426876878
Epoch[0] Finished[1.626%]Batch[15]loss_adversarial:2.6113176345825195
Epoch[0] Finished[1.626%]Batch[15]iou_adversarial:0.018994337
Epoch[0] Finished[1.626%]Batch[15]acc_adversarial:0.3594826518134657
Epoch[0] Finished[1.734%]Batch[16]loss_adversarial:2.7010304927825928
Epoch[0] Finished[1.734%]Batch[16]iou_adversarial:0.021234535
Epoch[0] Finished[1.734%]Batch[16]acc_adversarial:0.3844261108698797
Epoch[0] Finished[1.843%]Batch[17]loss_adversarial:2.649052143096924
Epoch[0] Finished[1.843%]Batch[17]iou_adversarial:0.009085434
Epoch[0] Finished[1.843%]Batch[17]acc_adversarial:0.11468057608040817
Epoch[0] Finished[1.951%]Batch[18]loss_adversarial:2.515995502471924
Epoch[0] Finished[1.951%]Batch[18]iou_adversarial:0.029044198
Epoch[0] Finished[1.951%]Batch[18]acc_adversarial:0.548167152848557
Epoch[0] Finished[2.059%]Batch[19]loss_adversarial:2.4979701042175293
Epoch[0] Finished[2.059%]Batch[19]iou_adversarial:0.034102947
Epoch[0] Finished[2.059%]Batch[19]acc_adversarial:0.6479560171581413
