Traning started.....
Train Adversarial loader length: 2975
Val Adversarial loader length: 500
Epoch[0] Finished[1.084%]Batch[1]loss_adversarial:2.9896764755249023
Epoch[0] Finished[1.084%]Batch[1]iou_adversarial:0.0019305164
Epoch[0] Finished[1.084%]Batch[1]acc_adversarial:0.0347170534767801
Epoch[0] Finished[2.168%]Batch[2]loss_adversarial:3.0508577823638916
Epoch[0] Finished[2.168%]Batch[2]iou_adversarial:0.0040317024
Epoch[0] Finished[2.168%]Batch[2]acc_adversarial:0.07488730259128738
Epoch[0] Finished[3.252%]Batch[3]loss_adversarial:2.989906072616577
Epoch[0] Finished[3.252%]Batch[3]iou_adversarial:0.0016520906
Epoch[0] Finished[3.252%]Batch[3]acc_adversarial:0.0311962313950186
Epoch[0] Finished[4.336%]Batch[4]loss_adversarial:2.9565770626068115
Epoch[0] Finished[4.336%]Batch[4]iou_adversarial:0.0054022097
Epoch[0] Finished[4.336%]Batch[4]acc_adversarial:0.101342466438339
Epoch[0] Finished[5.421%]Batch[5]loss_adversarial:2.9734156131744385
Epoch[0] Finished[5.421%]Batch[5]iou_adversarial:0.010910887
Epoch[0] Finished[5.421%]Batch[5]acc_adversarial:0.16161858015084393
Epoch[0] Finished[6.505%]Batch[6]loss_adversarial:2.9444286823272705
Epoch[0] Finished[6.505%]Batch[6]iou_adversarial:0.0065154973
Epoch[0] Finished[6.505%]Batch[6]acc_adversarial:0.12305863431348547
Epoch[0] Finished[7.589%]Batch[7]loss_adversarial:2.921476125717163
Epoch[0] Finished[7.589%]Batch[7]iou_adversarial:0.005257068
Epoch[0] Finished[7.589%]Batch[7]acc_adversarial:0.09942724321056495
Epoch[0] Finished[8.673%]Batch[8]loss_adversarial:2.907069444656372
Epoch[0] Finished[8.673%]Batch[8]iou_adversarial:0.0053527816
Epoch[0] Finished[8.673%]Batch[8]acc_adversarial:0.10155429229330065
Epoch[0] Finished[9.757%]Batch[9]loss_adversarial:2.8036885261535645
Epoch[0] Finished[9.757%]Batch[9]iou_adversarial:0.0
Epoch[0] Finished[9.757%]Batch[9]acc_adversarial:0.0
Epoch[0] Finished[1.084%]Batch[10]loss_adversarial:2.7410292625427246
Epoch[0] Finished[1.084%]Batch[10]iou_adversarial:0.021627313
Epoch[0] Finished[1.084%]Batch[10]acc_adversarial:0.3987331412046565
Epoch[0] Finished[1.192%]Batch[11]loss_adversarial:2.705082654953003
Epoch[0] Finished[1.192%]Batch[11]iou_adversarial:0.02372466
Epoch[0] Finished[1.192%]Batch[11]acc_adversarial:0.44493707923219245
Epoch[0] Finished[1.301%]Batch[12]loss_adversarial:2.8824005126953125
Epoch[0] Finished[1.301%]Batch[12]iou_adversarial:0.013974704
Epoch[0] Finished[1.301%]Batch[12]acc_adversarial:0.25707735557422784
Epoch[0] Finished[1.409%]Batch[13]loss_adversarial:2.693265199661255
Epoch[0] Finished[1.409%]Batch[13]iou_adversarial:0.027022293
Epoch[0] Finished[1.409%]Batch[13]acc_adversarial:0.509333047262919
Epoch[0] Finished[1.517%]Batch[14]loss_adversarial:2.5265772342681885
Epoch[0] Finished[1.517%]Batch[14]iou_adversarial:0.02437977
Epoch[0] Finished[1.517%]Batch[14]acc_adversarial:0.463215625902049
Epoch[0] Finished[1.626%]Batch[15]loss_adversarial:2.859813690185547
Epoch[0] Finished[1.626%]Batch[15]iou_adversarial:3.8155217e-06
Epoch[0] Finished[1.626%]Batch[15]acc_adversarial:7.249491241061115e-05
Epoch[0] Finished[1.734%]Batch[16]loss_adversarial:2.469949960708618
Epoch[0] Finished[1.734%]Batch[16]iou_adversarial:0.017525172
Epoch[0] Finished[1.734%]Batch[16]acc_adversarial:0.33297829250363775
Epoch[0] Finished[1.843%]Batch[17]loss_adversarial:2.415008068084717
Epoch[0] Finished[1.843%]Batch[17]iou_adversarial:0.023308286
Epoch[0] Finished[1.843%]Batch[17]acc_adversarial:0.442857457411906
Epoch[0] Finished[1.951%]Batch[18]loss_adversarial:1.619832158088684
Epoch[0] Finished[1.951%]Batch[18]iou_adversarial:0.046090566
Epoch[0] Finished[1.951%]Batch[18]acc_adversarial:0.8757207491321208
Epoch[0] Finished[2.059%]Batch[19]loss_adversarial:2.140389919281006
Epoch[0] Finished[2.059%]Batch[19]iou_adversarial:0.023811318
Epoch[0] Finished[2.059%]Batch[19]acc_adversarial:0.45241505387178704
