Traning started.....
Train Adversarial loader length: 2975
Val Adversarial loader length: 500
Epoch[0] Finished[1.084%]Batch[1]loss_adversarial:3.104670763015747
Epoch[0] Finished[1.084%]Batch[1]iou_adversarial:0.0002611989
Epoch[0] Finished[1.084%]Batch[1]acc_adversarial:0.00031817684666858885
Epoch[0] Finished[2.168%]Batch[2]loss_adversarial:3.130626678466797
Epoch[0] Finished[2.168%]Batch[2]iou_adversarial:0.0
Epoch[0] Finished[2.168%]Batch[2]acc_adversarial:0.0
Epoch[0] Finished[3.252%]Batch[3]loss_adversarial:3.0467472076416016
Epoch[0] Finished[3.252%]Batch[3]iou_adversarial:0.003578661
Epoch[0] Finished[3.252%]Batch[3]acc_adversarial:0.004221420979965631
Epoch[0] Finished[4.336%]Batch[4]loss_adversarial:3.066572427749634
Epoch[0] Finished[4.336%]Batch[4]iou_adversarial:3.8853963e-05
Epoch[0] Finished[4.336%]Batch[4]acc_adversarial:2.4955579069256712e-05
Epoch[0] Finished[5.421%]Batch[5]loss_adversarial:3.010953664779663
Epoch[0] Finished[5.421%]Batch[5]iou_adversarial:0.00033255736
Epoch[0] Finished[5.421%]Batch[5]acc_adversarial:9.472624116303877e-05
Epoch[0] Finished[6.505%]Batch[6]loss_adversarial:2.9418416023254395
Epoch[0] Finished[6.505%]Batch[6]iou_adversarial:0.0
Epoch[0] Finished[6.505%]Batch[6]acc_adversarial:0.0
Epoch[0] Finished[7.589%]Batch[7]loss_adversarial:2.8499152660369873
Epoch[0] Finished[7.589%]Batch[7]iou_adversarial:0.0
Epoch[0] Finished[7.589%]Batch[7]acc_adversarial:0.0
Epoch[0] Finished[8.673%]Batch[8]loss_adversarial:2.8266639709472656
Epoch[0] Finished[8.673%]Batch[8]iou_adversarial:0.0
Epoch[0] Finished[8.673%]Batch[8]acc_adversarial:0.0
Epoch[0] Finished[9.757%]Batch[9]loss_adversarial:2.758939266204834
Epoch[0] Finished[9.757%]Batch[9]iou_adversarial:0.015119027
Epoch[0] Finished[9.757%]Batch[9]acc_adversarial:0.27677883827116934
Epoch[0] Finished[1.084%]Batch[10]loss_adversarial:2.6557819843292236
Epoch[0] Finished[1.084%]Batch[10]iou_adversarial:0.034471925
Epoch[0] Finished[1.084%]Batch[10]acc_adversarial:0.5809534248759389
Epoch[0] Finished[1.192%]Batch[11]loss_adversarial:2.40401029586792
Epoch[0] Finished[1.192%]Batch[11]iou_adversarial:0.034059774
Epoch[0] Finished[1.192%]Batch[11]acc_adversarial:0.6471057083648291
Epoch[0] Finished[1.301%]Batch[12]loss_adversarial:2.2041549682617188
Epoch[0] Finished[1.301%]Batch[12]iou_adversarial:0.036628317
Epoch[0] Finished[1.301%]Batch[12]acc_adversarial:0.6959380775846409
Epoch[0] Finished[1.409%]Batch[13]loss_adversarial:2.0786397457122803
Epoch[0] Finished[1.409%]Batch[13]iou_adversarial:0.032183778
Epoch[0] Finished[1.409%]Batch[13]acc_adversarial:0.6114917494744163
Epoch[0] Finished[1.517%]Batch[14]loss_adversarial:1.8733010292053223
Epoch[0] Finished[1.517%]Batch[14]iou_adversarial:0.03404025
Epoch[0] Finished[1.517%]Batch[14]acc_adversarial:0.6467647705259066
Epoch[0] Finished[1.626%]Batch[15]loss_adversarial:1.9073058366775513
Epoch[0] Finished[1.626%]Batch[15]iou_adversarial:0.031622916
Epoch[0] Finished[1.626%]Batch[15]acc_adversarial:0.6008353759191634
Epoch[0] Finished[1.734%]Batch[16]loss_adversarial:1.3692610263824463
Epoch[0] Finished[1.734%]Batch[16]iou_adversarial:0.036309317
Epoch[0] Finished[1.734%]Batch[16]acc_adversarial:0.6898770245950807
Epoch[0] Finished[1.843%]Batch[17]loss_adversarial:1.6265766620635986
Epoch[0] Finished[1.843%]Batch[17]iou_adversarial:0.032697212
Epoch[0] Finished[1.843%]Batch[17]acc_adversarial:0.6212469724435234
Epoch[0] Finished[1.951%]Batch[18]loss_adversarial:1.9153579473495483
Epoch[0] Finished[1.951%]Batch[18]iou_adversarial:0.03340291
Epoch[0] Finished[1.951%]Batch[18]acc_adversarial:0.6346553077973902
Epoch[0] Finished[2.059%]Batch[19]loss_adversarial:2.780198097229004
Epoch[0] Finished[2.059%]Batch[19]iou_adversarial:0.029631106
Epoch[0] Finished[2.059%]Batch[19]acc_adversarial:0.5629910075565447
