Traning started.....
Train Adversarial loader length: 2975
Val Adversarial loader length: 500
Epoch[0] Finished[1.084%]Batch[1]loss_adversarial:2.79164719581604
Epoch[0] Finished[1.084%]Batch[1]iou_adversarial:0.039551884
Epoch[0] Finished[1.084%]Batch[1]acc_adversarial:0.7488820431282913
Epoch[0] Finished[2.168%]Batch[2]loss_adversarial:2.9081406593322754
Epoch[0] Finished[2.168%]Batch[2]iou_adversarial:0.023386082
Epoch[0] Finished[2.168%]Batch[2]acc_adversarial:0.4417556118791084
Epoch[0] Finished[3.252%]Batch[3]loss_adversarial:2.9007654190063477
Epoch[0] Finished[3.252%]Batch[3]iou_adversarial:0.017514655
Epoch[0] Finished[3.252%]Batch[3]acc_adversarial:0.33160287522270676
Epoch[0] Finished[4.336%]Batch[4]loss_adversarial:2.9359710216522217
Epoch[0] Finished[4.336%]Batch[4]iou_adversarial:0.017713094
Epoch[0] Finished[4.336%]Batch[4]acc_adversarial:0.33654878659889725
Epoch[0] Finished[5.421%]Batch[5]loss_adversarial:2.864863872528076
Epoch[0] Finished[5.421%]Batch[5]iou_adversarial:0.025126155
Epoch[0] Finished[5.421%]Batch[5]acc_adversarial:0.47739695671443316
Epoch[0] Finished[6.505%]Batch[6]loss_adversarial:2.6135053634643555
Epoch[0] Finished[6.505%]Batch[6]iou_adversarial:0.041194744
Epoch[0] Finished[6.505%]Batch[6]acc_adversarial:0.7827001144998436
Epoch[0] Finished[7.589%]Batch[7]loss_adversarial:2.538982629776001
Epoch[0] Finished[7.589%]Batch[7]iou_adversarial:0.042209044
Epoch[0] Finished[7.589%]Batch[7]acc_adversarial:0.8019718342455763
Epoch[0] Finished[8.673%]Batch[8]loss_adversarial:2.694337844848633
Epoch[0] Finished[8.673%]Batch[8]iou_adversarial:0.027020827
Epoch[0] Finished[8.673%]Batch[8]acc_adversarial:0.5133957347907792
Epoch[0] Finished[9.757%]Batch[9]loss_adversarial:2.6516199111938477
Epoch[0] Finished[9.757%]Batch[9]iou_adversarial:0.02542864
Epoch[0] Finished[9.757%]Batch[9]acc_adversarial:0.483144150382882
Epoch[0] Finished[1.084%]Batch[10]loss_adversarial:2.8771488666534424
Epoch[0] Finished[1.084%]Batch[10]iou_adversarial:0.01646378
Epoch[0] Finished[1.084%]Batch[10]acc_adversarial:0.3128118473325058
Epoch[0] Finished[1.192%]Batch[11]loss_adversarial:2.44987416267395
Epoch[0] Finished[1.192%]Batch[11]iou_adversarial:0.02527383
Epoch[0] Finished[1.192%]Batch[11]acc_adversarial:0.48020277139871
Epoch[0] Finished[1.301%]Batch[12]loss_adversarial:1.996874451637268
Epoch[0] Finished[1.301%]Batch[12]iou_adversarial:0.041065037
Epoch[0] Finished[1.301%]Batch[12]acc_adversarial:0.7802357337077779
Epoch[0] Finished[1.409%]Batch[13]loss_adversarial:3.2578125
Epoch[0] Finished[1.409%]Batch[13]iou_adversarial:1.1225926e-05
Epoch[0] Finished[1.409%]Batch[13]acc_adversarial:0.00021329259279467851
Epoch[0] Finished[1.517%]Batch[14]loss_adversarial:1.7319450378417969
Epoch[0] Finished[1.517%]Batch[14]iou_adversarial:0.040584855
Epoch[0] Finished[1.517%]Batch[14]acc_adversarial:0.771112246467031
Epoch[0] Finished[1.626%]Batch[15]loss_adversarial:2.829512119293213
Epoch[0] Finished[1.626%]Batch[15]iou_adversarial:0.0075999587
Epoch[0] Finished[1.626%]Batch[15]acc_adversarial:0.1443992046207745
Epoch[0] Finished[1.734%]Batch[16]loss_adversarial:1.9756509065628052
Epoch[0] Finished[1.734%]Batch[16]iou_adversarial:0.026649877
Epoch[0] Finished[1.734%]Batch[16]acc_adversarial:0.506347645698727
Epoch[0] Finished[1.843%]Batch[17]loss_adversarial:2.3665177822113037
Epoch[0] Finished[1.843%]Batch[17]iou_adversarial:0.020622551
Epoch[0] Finished[1.843%]Batch[17]acc_adversarial:0.3918284857339622
Epoch[0] Finished[1.951%]Batch[18]loss_adversarial:1.9890679121017456
Epoch[0] Finished[1.951%]Batch[18]iou_adversarial:0.029341387
Epoch[0] Finished[1.951%]Batch[18]acc_adversarial:0.5574863411672879
Epoch[0] Finished[2.059%]Batch[19]loss_adversarial:2.2282886505126953
Epoch[0] Finished[2.059%]Batch[19]iou_adversarial:0.022869118
Epoch[0] Finished[2.059%]Batch[19]acc_adversarial:0.4345132266580462
