Traning started.....
Train Adversarial loader length: 2975
Val Adversarial loader length: 500
Epoch[0] Finished[1.084%]Batch[1]loss_adversarial:2.8386025428771973
Epoch[0] Finished[1.084%]Batch[1]iou_adversarial:0.029615792
Epoch[0] Finished[1.084%]Batch[1]acc_adversarial:0.5544678989390789
Epoch[0] Finished[2.168%]Batch[2]loss_adversarial:2.8120203018188477
Epoch[0] Finished[2.168%]Batch[2]iou_adversarial:0.033026136
Epoch[0] Finished[2.168%]Batch[2]acc_adversarial:0.6236228986959388
Epoch[0] Finished[3.252%]Batch[3]loss_adversarial:2.811002492904663
Epoch[0] Finished[3.252%]Batch[3]iou_adversarial:0.026037063
Epoch[0] Finished[3.252%]Batch[3]acc_adversarial:0.49460154752326724
Epoch[0] Finished[4.336%]Batch[4]loss_adversarial:2.777336835861206
Epoch[0] Finished[4.336%]Batch[4]iou_adversarial:0.03479902
Epoch[0] Finished[4.336%]Batch[4]acc_adversarial:0.6611781029767012
Epoch[0] Finished[5.421%]Batch[5]loss_adversarial:2.731828451156616
Epoch[0] Finished[5.421%]Batch[5]iou_adversarial:0.03278289
Epoch[0] Finished[5.421%]Batch[5]acc_adversarial:0.6228748915633816
Epoch[0] Finished[6.505%]Batch[6]loss_adversarial:2.6975646018981934
Epoch[0] Finished[6.505%]Batch[6]iou_adversarial:0.028734881
Epoch[0] Finished[6.505%]Batch[6]acc_adversarial:0.5459627514872498
Epoch[0] Finished[7.589%]Batch[7]loss_adversarial:2.691300392150879
Epoch[0] Finished[7.589%]Batch[7]iou_adversarial:0.03403731
Epoch[0] Finished[7.589%]Batch[7]acc_adversarial:0.6467089273633833
Epoch[0] Finished[8.673%]Batch[8]loss_adversarial:2.675783395767212
Epoch[0] Finished[8.673%]Batch[8]iou_adversarial:0.018042732
Epoch[0] Finished[8.673%]Batch[8]acc_adversarial:0.3428119119448011
Epoch[0] Finished[9.757%]Batch[9]loss_adversarial:2.633688449859619
Epoch[0] Finished[9.757%]Batch[9]iou_adversarial:0.0146980565
Epoch[0] Finished[9.757%]Batch[9]acc_adversarial:0.27926307578414944
Epoch[0] Finished[1.084%]Batch[10]loss_adversarial:2.536853075027466
Epoch[0] Finished[1.084%]Batch[10]iou_adversarial:0.03062396
Epoch[0] Finished[1.084%]Batch[10]acc_adversarial:0.5818552324770311
Epoch[0] Finished[1.192%]Batch[11]loss_adversarial:2.413491725921631
Epoch[0] Finished[1.192%]Batch[11]iou_adversarial:0.03406009
Epoch[0] Finished[1.192%]Batch[11]acc_adversarial:0.6471417038191174
Epoch[0] Finished[1.301%]Batch[12]loss_adversarial:2.2204747200012207
Epoch[0] Finished[1.301%]Batch[12]iou_adversarial:0.036628317
Epoch[0] Finished[1.301%]Batch[12]acc_adversarial:0.6959380775846409
Epoch[0] Finished[1.409%]Batch[13]loss_adversarial:2.1366729736328125
Epoch[0] Finished[1.409%]Batch[13]iou_adversarial:0.032183778
Epoch[0] Finished[1.409%]Batch[13]acc_adversarial:0.6114917494744163
Epoch[0] Finished[1.517%]Batch[14]loss_adversarial:2.0398495197296143
Epoch[0] Finished[1.517%]Batch[14]iou_adversarial:0.03404025
Epoch[0] Finished[1.517%]Batch[14]acc_adversarial:0.6467647705259066
Epoch[0] Finished[1.626%]Batch[15]loss_adversarial:2.1318509578704834
Epoch[0] Finished[1.626%]Batch[15]iou_adversarial:0.031622916
Epoch[0] Finished[1.626%]Batch[15]acc_adversarial:0.6008353759191634
Epoch[0] Finished[1.734%]Batch[16]loss_adversarial:1.6802115440368652
Epoch[0] Finished[1.734%]Batch[16]iou_adversarial:0.036309317
Epoch[0] Finished[1.734%]Batch[16]acc_adversarial:0.6898770245950807
Epoch[0] Finished[1.843%]Batch[17]loss_adversarial:1.7991018295288086
Epoch[0] Finished[1.843%]Batch[17]iou_adversarial:0.032697212
Epoch[0] Finished[1.843%]Batch[17]acc_adversarial:0.6212469724435234
Epoch[0] Finished[1.951%]Batch[18]loss_adversarial:1.8542680740356445
Epoch[0] Finished[1.951%]Batch[18]iou_adversarial:0.03340291
Epoch[0] Finished[1.951%]Batch[18]acc_adversarial:0.6346553077973902
Epoch[0] Finished[2.059%]Batch[19]loss_adversarial:2.2205257415771484
Epoch[0] Finished[2.059%]Batch[19]iou_adversarial:0.029631106
Epoch[0] Finished[2.059%]Batch[19]acc_adversarial:0.5629910075565447
