Traning started.....
Train Adversarial loader length: 2975
Val Adversarial loader length: 500
Epoch[0] Finished[1.084%]Batch[1]loss_adversarial:2.7868974208831787
Epoch[0] Finished[1.084%]Batch[1]iou_adversarial:0.0006504357
Epoch[0] Finished[1.084%]Batch[1]acc_adversarial:0.012330358137240857
Epoch[0] Finished[2.168%]Batch[2]loss_adversarial:3.0364038944244385
Epoch[0] Finished[2.168%]Batch[2]iou_adversarial:7.3623654e-05
Epoch[0] Finished[2.168%]Batch[2]acc_adversarial:0.0004372001945848751
Epoch[0] Finished[3.252%]Batch[3]loss_adversarial:2.9318830966949463
Epoch[0] Finished[3.252%]Batch[3]iou_adversarial:8.039121e-05
Epoch[0] Finished[3.252%]Batch[3]acc_adversarial:0.0005877913073680973
Epoch[0] Finished[4.336%]Batch[4]loss_adversarial:2.984683036804199
Epoch[0] Finished[4.336%]Batch[4]iou_adversarial:5.180155e-05
Epoch[0] Finished[4.336%]Batch[4]acc_adversarial:0.0003916532320499855
Epoch[0] Finished[5.421%]Batch[5]loss_adversarial:2.786284923553467
Epoch[0] Finished[5.421%]Batch[5]iou_adversarial:0.00048503588
Epoch[0] Finished[5.421%]Batch[5]acc_adversarial:0.003982467125860987
Epoch[0] Finished[6.505%]Batch[6]loss_adversarial:2.8263585567474365
Epoch[0] Finished[6.505%]Batch[6]iou_adversarial:0.022441741
Epoch[0] Finished[6.505%]Batch[6]acc_adversarial:0.4236891618799214
Epoch[0] Finished[7.589%]Batch[7]loss_adversarial:2.8910677433013916
Epoch[0] Finished[7.589%]Batch[7]iou_adversarial:0.02256363
Epoch[0] Finished[7.589%]Batch[7]acc_adversarial:0.4287089965024726
Epoch[0] Finished[8.673%]Batch[8]loss_adversarial:2.8814990520477295
Epoch[0] Finished[8.673%]Batch[8]iou_adversarial:0.015360735
Epoch[0] Finished[8.673%]Batch[8]acc_adversarial:0.29185395147233
Epoch[0] Finished[9.757%]Batch[9]loss_adversarial:2.772871971130371
Epoch[0] Finished[9.757%]Batch[9]iou_adversarial:0.031812593
Epoch[0] Finished[9.757%]Batch[9]acc_adversarial:0.6044392407572601
Epoch[0] Finished[1.084%]Batch[10]loss_adversarial:2.8431453704833984
Epoch[0] Finished[1.084%]Batch[10]iou_adversarial:0.016334172
Epoch[0] Finished[1.084%]Batch[10]acc_adversarial:0.3103492918360475
Epoch[0] Finished[1.192%]Batch[11]loss_adversarial:2.7781009674072266
Epoch[0] Finished[1.192%]Batch[11]iou_adversarial:0.021884216
Epoch[0] Finished[1.192%]Batch[11]acc_adversarial:0.4158000867856138
Epoch[0] Finished[1.301%]Batch[12]loss_adversarial:2.6384778022766113
Epoch[0] Finished[1.301%]Batch[12]iou_adversarial:0.025363117
Epoch[0] Finished[1.301%]Batch[12]acc_adversarial:0.481899236557065
Epoch[0] Finished[1.409%]Batch[13]loss_adversarial:2.6627562046051025
Epoch[0] Finished[1.409%]Batch[13]iou_adversarial:0.023665598
Epoch[0] Finished[1.409%]Batch[13]acc_adversarial:0.4496463494319808
Epoch[0] Finished[1.517%]Batch[14]loss_adversarial:2.623197317123413
Epoch[0] Finished[1.517%]Batch[14]iou_adversarial:0.018512923
Epoch[0] Finished[1.517%]Batch[14]acc_adversarial:0.35174555871520147
Epoch[0] Finished[1.626%]Batch[15]loss_adversarial:2.3847386837005615
Epoch[0] Finished[1.626%]Batch[15]iou_adversarial:0.02939585
Epoch[0] Finished[1.626%]Batch[15]acc_adversarial:0.5585211297158922
Epoch[0] Finished[1.734%]Batch[16]loss_adversarial:2.3426427841186523
Epoch[0] Finished[1.734%]Batch[16]iou_adversarial:0.027814416
Epoch[0] Finished[1.734%]Batch[16]acc_adversarial:0.5284739070811794
Epoch[0] Finished[1.843%]Batch[17]loss_adversarial:2.372438430786133
Epoch[0] Finished[1.843%]Batch[17]iou_adversarial:0.025754776
Epoch[0] Finished[1.843%]Batch[17]acc_adversarial:0.48934074695542945
Epoch[0] Finished[1.951%]Batch[18]loss_adversarial:2.1263720989227295
Epoch[0] Finished[1.951%]Batch[18]iou_adversarial:0.034030743
Epoch[0] Finished[1.951%]Batch[18]acc_adversarial:0.6465840943249287
Epoch[0] Finished[2.059%]Batch[19]loss_adversarial:2.886232376098633
Epoch[0] Finished[2.059%]Batch[19]iou_adversarial:0.001366885
